codigo,Nombre,Clasificación,Grupo,Dosificación,Precio,Precio_descuento,%_Descuento,Rating,Numero_valoraciones,Serie,Descripcion,Edulcorantes,Veganos,Vegetarianos,OMG,Gluten,Lactosa,Lacteos,Soja,Huevo,Conservantes,Colorantes,Frutos_cascara,Pescado
10806,EVOVITS (MULTIVITAMÍNICO),Nutrición Deportiva/,Multivitamínicos/,120 veg caps,"6,90 €","3,86 €",-44%,4.64/5.00,(3376),Sport Series,"Multivitamínico-Multimineral. Con extractos de plantas, Inositol, Rutina y CoQ10. 1 cápsula al día. Apto para vegetarianos.",True,False,True,False,False,False,True,False,False,False,True,True,False
10806,EVOVITS (MULTIVITAMÍNICO),Nutrición Deportiva/,Multivitamínicos/,240 veg caps,"29,90€","16,74€",-44%,4.64/5.00,(3376),Sport Series,"Multivitamínico-Multimineral. Con extractos de plantas, Inositol, Rutina y CoQ10. 1 cápsula al día. Apto para vegetarianos.",True,False,True,False,False,False,True,False,False,False,True,True,False
10806,EVOVITS (MULTIVITAMÍNICO),Nutrición Deportiva/,Multivitamínicos/,30 veg caps (Agotado),"6,90€","3,86€",-44%,4.64/5.00,(3376),Sport Series,"Multivitamínico-Multimineral. Con extractos de plantas, Inositol, Rutina y CoQ10. 1 cápsula al día. Apto para vegetarianos.",True,False,True,False,False,False,True,False,False,False,True,True,False
23941,EVOVITS PLUS+ (MULTIVITAMÍNICO),Nutrición Deportiva/,Multivitamínicos/,30 veg caps,"11,90 €","6,67 €",-44%,4.64/5.00,(13),Sport Series,Fórmula avanzada de vitaminas y minerales. Con vitaminas metiladas (como metilcobalamina y metilfolato) de mayor biodisponibilidad y minerales quelados para máxima absorción. Con Coenzima Q10 y CDP-Colina (Citicolina). Apto para dietas veganas.,True,True,True,False,False,False,True,False,False,False,False,True,False
23941,EVOVITS PLUS+ (MULTIVITAMÍNICO),Nutrición Deportiva/,Multivitamínicos/,240 veg caps,"85,90€","48,10€",-44%,4.64/5.00,(13),Sport Series,Fórmula avanzada de vitaminas y minerales. Con vitaminas metiladas (como metilcobalamina y metilfolato) de mayor biodisponibilidad y minerales quelados para máxima absorción. Con Coenzima Q10 y CDP-Colina (Citicolina). Apto para dietas veganas.,True,True,True,False,False,False,True,False,False,False,False,True,False
23941,EVOVITS PLUS+ (MULTIVITAMÍNICO),Nutrición Deportiva/,Multivitamínicos/,120 veg caps (Agotado),"44,90€","25,15€",-44%,4.64/5.00,(13),Sport Series,Fórmula avanzada de vitaminas y minerales. Con vitaminas metiladas (como metilcobalamina y metilfolato) de mayor biodisponibilidad y minerales quelados para máxima absorción. Con Coenzima Q10 y CDP-Colina (Citicolina). Apto para dietas veganas.,True,True,True,False,False,False,True,False,False,False,False,True,False
24015,PRENATAL CARE *,Salud y Bienestar/,Especial mujer/,30 veg caps,"13,90 €","7,79 €",-44%,4.64/5.00,(2),Essential Series,"Vitaminas y minerales para el embarazo. Con formas de alta calidad. Vitamina A en forma de Beta-Caroteno. Cantidades seguras verificadas. Con Citicolina, DHA vegano, luteína, zeaxantina y carotenoides. Vegano. * La ingesta materna de ácido docosahexaenoico (DHA) contribuye al desarrollo normal de los ojos del feto y del lactante alimentado con leche materna.",True,True,True,False,False,False,True,False,False,False,False,True,False
24015,PRENATAL CARE *,Salud y Bienestar/,Especial mujer/,120 veg caps,"49,90€","27,94€",-44%,4.64/5.00,(2),Essential Series,"Vitaminas y minerales para el embarazo. Con formas de alta calidad. Vitamina A en forma de Beta-Caroteno. Cantidades seguras verificadas. Con Citicolina, DHA vegano, luteína, zeaxantina y carotenoides. Vegano. * La ingesta materna de ácido docosahexaenoico (DHA) contribuye al desarrollo normal de los ojos del feto y del lactante alimentado con leche materna.",True,True,True,False,False,False,True,False,False,False,False,True,False
23697,DAILY TWO MULTIVITAMÍNICO (SIN HIERRO NI YODO),Nutrición Deportiva/,Multivitamínicos/,120 veg caps,"20,90 €","11,70 €",-44%,4.64/5.00,(7),Essential Series,"Multivitamínico 2 cápsulas al día. Con todas las vitaminas. Con minerales – Libre de hierro y yodo. Fórmula completada con colina, silicio y boro. Minerales de alta biodisponibilidad. Apto para veganos.",True,True,True,False,False,False,True,False,False,False,False,True,False
24018,PRENATAL CARE (SIN YODO) *,Salud y Bienestar/,Especial mujer/,30 veg caps,"13,90 €","6,26 €",-55%,4.64/5.00,(1),Essential Series,"Multivitamínico para el embarazo. ¡Versión sin yodo! Con vitaminas y minerales de la mejor calidad. Con Colina (CDP), DHA vegano de aceite de algas y extracto de caléndula. Apto para veganas. * La ingesta materna de ácido docosahexaenoico (DHA) contribuye al desarrollo normal de los ojos del feto y del lactante alimentado con leche materna.",True,True,True,False,False,False,True,False,False,False,False,True,False
